LAST SEEN   TYPE      REASON                    OBJECT                           MESSAGE
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-sd597    Marking for deletion Pod default/nginx-ha-7d744949b7-sd597
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-sd597    MountVolume.SetUp failed for volume "kube-api-access-zqcnb" : object "default"/"kube-root-ca.crt" not registered
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-slzm6    Successfully assigned default/nginx-ha-7d744949b7-slzm6 to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-slzm6    Pulling image "nginx:latest"
2m55s       Normal    Pulled                    pod/nginx-ha-7d744949b7-slzm6    Successfully pulled image "nginx:latest" in 1.772s (9.021s including waiting). Image size: 63120520 bytes.
2m55s       Normal    Created                   pod/nginx-ha-7d744949b7-slzm6    Created container: nginx
2m54s       Normal    Started                   pod/nginx-ha-7d744949b7-slzm6    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-sm5w2    Successfully assigned default/nginx-ha-7d744949b7-sm5w2 to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-sm5w2    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-sm5w2    Successfully pulled image "nginx:latest" in 1.597s (4.586s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-sm5w2    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-sm5w2    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-tcvcx    Successfully assigned default/nginx-ha-7d744949b7-tcvcx to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-tcvcx    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-tcvcx    Successfully pulled image "nginx:latest" in 1.627s (11.997s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-tcvcx    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-tcvcx    Started container nginx
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-trmfd    Successfully assigned default/nginx-ha-7d744949b7-trmfd to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-trmfd    Pulling image "nginx:latest"
2m58s       Normal    Pulled                    pod/nginx-ha-7d744949b7-trmfd    Successfully pulled image "nginx:latest" in 1.613s (5.506s including waiting). Image size: 63120520 bytes.
2m58s       Normal    Created                   pod/nginx-ha-7d744949b7-trmfd    Created container: nginx
2m58s       Normal    Started                   pod/nginx-ha-7d744949b7-trmfd    Started container nginx
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-z8k52    Successfully assigned default/nginx-ha-7d744949b7-z8k52 to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-z8k52    Pulling image "nginx:latest"
2m51s       Normal    Pulled                    pod/nginx-ha-7d744949b7-z8k52    Successfully pulled image "nginx:latest" in 1.676s (12.381s including waiting). Image size: 63120520 bytes.
2m51s       Normal    Created                   pod/nginx-ha-7d744949b7-z8k52    Created container: nginx
2m51s       Normal    Started                   pod/nginx-ha-7d744949b7-z8k52    Started container nginx
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-2f5np
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-7zmzn
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-sm5w2
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-sd597
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-nxzfv
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-fjwjv
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-9tn6q
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-8qjlq
51m         Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-j5f9k
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   (combined from similar events): Created pod: nginx-ha-7d744949b7-rtgdf
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-254dc
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-qmnrz
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-trmfd
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-dm65s
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-z8k52
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-84gg2
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-slzm6
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-phd9s
3m5s        Normal    SuccessfulCreate          replicaset/nginx-ha-7d744949b7   Created pod: nginx-ha-7d744949b7-cq27n
51m         Normal    ScalingReplicaSet         deployment/nginx-ha              Scaled up replica set nginx-ha-7d744949b7 from 0 to 20
8m10s       Normal    NodeNotReady              node/prod-ha-worker              Node prod-ha-worker status is now: NodeNotReady
78s         Normal    Starting                  node/prod-ha-worker              Starting kubelet.
78s         Normal    NodeAllocatableEnforced   node/prod-ha-worker              Updated Node Allocatable limit across pods
78s         Normal    NodeHasSufficientMemory   node/prod-ha-worker              Node prod-ha-worker status is now: NodeHasSufficientMemory
78s         Normal    NodeHasNoDiskPressure     node/prod-ha-worker              Node prod-ha-worker status is now: NodeHasNoDiskPressure
78s         Normal    NodeHasSufficientPID      node/prod-ha-worker              Node prod-ha-worker status is now: NodeHasSufficientPID
78s         Normal    NodeReady                 node/prod-ha-worker              Node prod-ha-worker status is now: NodeReady
74s         Normal    Starting                  node/prod-ha-worker              
